iso_code,continent,location,date,new_cases,new_deaths,new_vaccinations,stringency_index,population_density
BRN,Asia,Brunei,03-01-20,0,0,,,81.347
BRN,Asia,Brunei,04-01-20,0,0,,,81.347
BRN,Asia,Brunei,05-01-20,0,0,,,81.347
BRN,Asia,Brunei,06-01-20,0,0,,,81.347
BRN,Asia,Brunei,07-01-20,0,0,,,81.347
BRN,Asia,Brunei,08-01-20,0,0,,,81.347
BRN,Asia,Brunei,09-01-20,0,0,,,81.347
BRN,Asia,Brunei,10-01-20,0,0,,,81.347
BRN,Asia,Brunei,11-01-20,0,0,,,81.347
BRN,Asia,Brunei,12-01-20,0,0,,,81.347
BRN,Asia,Brunei,13-01-20,0,0,,,81.347
BRN,Asia,Brunei,14-01-20,0,0,,,81.347
BRN,Asia,Brunei,15-01-20,0,0,,,81.347
BRN,Asia,Brunei,16-01-20,0,0,,,81.347
BRN,Asia,Brunei,17-01-20,0,0,,,81.347
BRN,Asia,Brunei,18-01-20,0,0,,,81.347
BRN,Asia,Brunei,19-01-20,0,0,,,81.347
BRN,Asia,Brunei,20-01-20,0,0,,,81.347
BRN,Asia,Brunei,21-01-20,0,0,,,81.347
BRN,Asia,Brunei,22-01-20,0,0,,11.11,81.347
BRN,Asia,Brunei,23-01-20,0,0,,11.11,81.347
BRN,Asia,Brunei,24-01-20,0,0,,11.11,81.347
BRN,Asia,Brunei,25-01-20,0,0,,11.11,81.347
BRN,Asia,Brunei,26-01-20,0,0,,11.11,81.347
BRN,Asia,Brunei,27-01-20,0,0,,11.11,81.347
BRN,Asia,Brunei,28-01-20,0,0,,11.11,81.347
BRN,Asia,Brunei,29-01-20,0,0,,11.11,81.347
BRN,Asia,Brunei,30-01-20,0,0,,19.44,81.347
BRN,Asia,Brunei,31-01-20,0,0,,19.44,81.347
BRN,Asia,Brunei,01-02-20,0,0,,19.44,81.347
BRN,Asia,Brunei,02-02-20,0,0,,19.44,81.347
BRN,Asia,Brunei,03-02-20,0,0,,19.44,81.347
BRN,Asia,Brunei,04-02-20,0,0,,19.44,81.347
BRN,Asia,Brunei,05-02-20,0,0,,19.44,81.347
BRN,Asia,Brunei,06-02-20,0,0,,19.44,81.347
BRN,Asia,Brunei,07-02-20,0,0,,19.44,81.347
BRN,Asia,Brunei,08-02-20,0,0,,19.44,81.347
BRN,Asia,Brunei,09-02-20,0,0,,19.44,81.347
BRN,Asia,Brunei,10-02-20,0,0,,19.44,81.347
BRN,Asia,Brunei,11-02-20,0,0,,19.44,81.347
BRN,Asia,Brunei,12-02-20,0,0,,19.44,81.347
BRN,Asia,Brunei,13-02-20,0,0,,19.44,81.347
BRN,Asia,Brunei,14-02-20,0,0,,19.44,81.347
